recipe,file,status,assumed_portions,old_kcal,new_kcal,kcal_delta_pct,old_p,new_p,old_c,new_c,old_f,new_f,unresolved
"Mexican-style Cottage Cheese with Wholewheat Pasta & Tenderstem Broccoli","20260702000001_seed_owner_meals.sql",apply,2,513,652,27,33.1,40.7,61.7,77.6,17.2,22.6,""
"Indian-spiced Mackerel with Soba Noodles & Courgette","20260702000001_seed_owner_meals.sql",apply,2,659,745,13,46.2,51.2,45.1,48.4,33.1,41.1,""
"Teriyaki Mackerel with Rye Bread & Kale","20260702000001_seed_owner_meals.sql",apply,2,639,827,29,43.8,51,36.1,54.6,34.3,46.3,""
"Garlic & chilli Paneer with Brown Rice & Red Onion","20260702000001_seed_owner_meals.sql",apply,2,743,882,19,39.2,46.5,48.2,65.4,44.4,47.8,""
"Indian-spiced Black Beans with Wholewheat Pasta & Cauliflower","20260702000001_seed_owner_meals.sql",apply,2,575,646,12,28.3,31.3,99,108.9,11,12.4,""
"Indian-spiced Quorn Mince with Couscous & Mixed Peppers","20260702000001_seed_owner_meals.sql",apply,2,487,524,8,33,35.8,58.9,62.8,13.3,16,""
"Moroccan-spiced Haddock Fillet with Rolled Oats & Chestnut Mushrooms","20260702000001_seed_owner_meals.sql",apply,2,420,377,-10,44.7,39.6,28.8,29.7,11.7,11.8,""
"Italian herb Salmon Fillet with Rye Bread & Baby Spinach","20260702000001_seed_owner_meals.sql",apply,2,645,779,21,54.6,52.1,36.1,48.7,32.7,41.5,""
"Moroccan-spiced Pork Tenderloin with Rye Bread & Kale","20260702000001_seed_owner_meals.sql",apply,2,514,577,12,55.8,59.1,39.1,50.7,12.8,15.1,""
"Mediterranean Salmon Fillet with Bulgur Wheat & Kale","20260702000001_seed_owner_meals.sql",apply,2,622,637,2,53.1,47.2,43.8,46.3,28.4,30,""
"Asian-inspired Edamame with White Potato & Green Beans","20260702000001_seed_owner_meals.sql",apply,2,421,519,23,25.5,31.9,53.2,55.5,12.3,21.1,""
"Indian-spiced Cooked Chickpeas with White Potato & Baby Spinach","20260702000001_seed_owner_meals.sql",apply,2,519,585,13,23.6,30.4,83.4,84.1,9.8,15.6,""
"Mexican-style Egg Whites with White Potato & Peas","20260702000001_seed_owner_meals.sql",apply,2,330,394,19,26,31.7,42.2,53,5.2,6,""
"Moroccan-spiced Turkey Breast with Wholegrain Bread & Cherry Tomatoes","20260702000001_seed_owner_meals.sql",apply,2,508,558,10,59.9,54,34.6,38.5,12.2,20.6,""
"Peri-peri Egg Whites with Wholegrain Bread & Mixed Salad Leaves","20260702000001_seed_owner_meals.sql",apply,2,384,485,26,30.7,38,39.2,44.7,10.4,18.3,""
"Mexican-style Egg Whites with Rolled Oats & Kale","20260702000001_seed_owner_meals.sql",apply,2,336,353,5,26.7,30.1,30,31.3,11,12.9,""
"Lemon herb 0% Greek Yogurt with Soba Noodles & Carrots","20260702000001_seed_owner_meals.sql",apply,2,396,501,27,30,35,51.6,61.2,8.8,16.1,""
"Mediterranean Mackerel with Soba Noodles & Carrots","20260702000001_seed_owner_meals.sql",apply,2,612,673,10,45.1,48.7,42.4,50,28.7,32,""
"Asian-inspired Whole Eggs with Butter Beans & Cherry Tomatoes","20260702000001_seed_owner_meals.sql",apply,2,509,549,8,38.1,37.3,37.2,33.8,23.8,29.2,""
"Asian-inspired Black Beans with Brown Rice & Carrots","20260702000001_seed_owner_meals.sql",apply,2,552,728,32,24.6,30,91.6,106.2,10,23.1,""
"Italian herb Tempeh with Rye Bread & Courgette","20260702000001_seed_owner_meals.sql",apply,2,609,690,13,41.7,45.6,53.5,61.6,29.1,34,""
"Cajun Turkey Breast with Soba Noodles & Red Onion","20260702000001_seed_owner_meals.sql",apply,2,537,611,14,64,59.2,44.9,54.7,11.3,19.4,""
"Garlic & chilli Pork Tenderloin with White Basmati Rice & Chestnut Mushrooms","20260702000001_seed_owner_meals.sql",apply,2,591,704,19,54.7,61.1,52.2,62,14.9,23.4,""
"Indian-spiced Mackerel with Bulgur Wheat & Red Onion","20260702000001_seed_owner_meals.sql",apply,2,604,687,14,43.5,48.7,37.7,44.8,30.3,36,""
"Peri-peri Seitan with Soba Noodles & Tenderstem Broccoli","20260702000001_seed_owner_meals.sql",apply,2,625,586,-6,54.8,58.4,71.5,58.8,11.6,15.2,""
"Mediterranean Seitan with Brown Rice & Green Beans","20260702000001_seed_owner_meals.sql",apply,2,657,688,5,53.4,59.3,73.6,68.4,12.7,20.4,""
"BBQ King Prawns with Rye Bread & Courgette","20260702000001_seed_owner_meals.sql",apply,2,451,466,3,52.2,46.7,36.3,44.7,10.4,11.9,""
"BBQ Cooked Lentils with Butter Beans & Kale","20260702000001_seed_owner_meals.sql",apply,2,439,465,6,30.9,32.1,71.2,68.5,4.8,8.9,""
"Italian herb Seitan with Bulgur Wheat & Kale","20260702000001_seed_owner_meals.sql",apply,2,605,615,2,54.3,61.1,65.7,51.9,11.5,20.3,""
"BBQ Black Beans with Soba Noodles & Peas","20260702000001_seed_owner_meals.sql",apply,2,503,629,25,25,30.6,85,95,8.4,16.5,""
"Mediterranean Salmon Fillet with Wholegrain Bread & Kale","20260702000001_seed_owner_meals.sql",apply,2,658,732,11,53.7,51,39.1,45,33.4,39,""
"Lemon herb Pork Tenderloin with Butter Beans & Red Onion","20260702000001_seed_owner_meals.sql",apply,2,528,562,6,60.4,58.3,39.1,43.2,14.7,18,""
"Italian herb Lamb Leg with Wholegrain Bread & Tenderstem Broccoli","20260702000001_seed_owner_meals.sql",apply,2,607,693,14,53.7,59.6,39.1,45.6,26.2,32.3,""
"Garlic & chilli Edamame with Wholewheat Pasta & Baby Spinach","20260702000001_seed_owner_meals.sql",apply,2,526,657,25,33.1,42.8,70.8,78.7,15.9,22.4,""
"Teriyaki Cooked Chickpeas with Rolled Oats & Asparagus Tips","20260702000001_seed_owner_meals.sql",apply,2,537,574,7,23.1,26.1,77.4,82.5,15.3,17.4,""
"Asian-inspired Mackerel with White Potato & Courgette","20260702000001_seed_owner_meals.sql",apply,2,613,697,14,38.8,41.2,39.1,40.7,32.7,42.1,""
"Mediterranean Lean Beef Mince (5%) with White Basmati Rice & Cucumber","20260702000001_seed_owner_meals.sql",apply,2,629,777,24,56,55.1,55.3,61.7,17.8,32.4,""
"Peri-peri King Prawns with Quinoa & Cucumber","20260702000001_seed_owner_meals.sql",apply,2,510,569,12,54.1,50.9,45.3,48.8,12.1,20.6,""
"Peri-peri Haddock Fillet with Rye Bread & Asparagus Tips","20260702000001_seed_owner_meals.sql",apply,2,442,483,9,45.3,39.9,37.3,49.8,10.4,14.9,""
"Indian-spiced Firm Tofu with Wholewheat Tortilla Wrap & Cauliflower","20260702000001_seed_owner_meals.sql",apply,2,569,641,13,41,44.6,43.3,45.7,27.8,35.6,""
"Peri-peri Haddock Fillet with Butter Beans & Green Beans","20260702000001_seed_owner_meals.sql",apply,2,431,442,3,50.4,40,34.6,34.9,9,16.4,""
"BBQ Mackerel with Couscous & Cherry Tomatoes","20260702000001_seed_owner_meals.sql",apply,2,657,721,10,41,41.9,45.4,45.3,32.4,40.8,""
"Garlic & chilli Paneer with Quinoa & Cherry Tomatoes","20260702000001_seed_owner_meals.sql",apply,2,806,952,18,44.1,52.7,47,55.8,50.5,58.3,""
"Teriyaki Cooked Chickpeas with Sweet Potato & Peas","20260702000001_seed_owner_meals.sql",apply,2,535,694,30,22.8,32.6,88.8,104.2,9.8,17.2,""
"Mediterranean Seitan with Bulgur Wheat & Cherry Tomatoes","20260702000001_seed_owner_meals.sql",apply,2,606,516,-15,53.1,54.2,65.8,49.8,12.1,12.2,""
"Moroccan-spiced Quorn Mince with Wholegrain Bread & Baby Spinach","20260702000001_seed_owner_meals.sql",apply,2,474,577,22,35.9,45.5,46.8,52.4,16,22.9,""
"Lemon herb Turkey Breast with Wholegrain Bread & Cucumber","20260702000001_seed_owner_meals.sql",apply,2,519,493,-5,62.5,56.4,40.9,43.6,9.9,10.2,""
"BBQ Edamame with White Potato & Green Beans","20260702000001_seed_owner_meals.sql",apply,2,472,570,21,26.4,33,55.8,59.9,17.3,25.8,""
"Cajun Haddock Fillet with Bulgur Wheat & Carrots","20260702000001_seed_owner_meals.sql",apply,2,265,353,33,25.9,25.3,18.3,28.4,8.8,17.3,""
"Italian herb Firm Tofu with Bulgur Wheat & Kale","20260702000001_seed_owner_meals.sql",apply,2,306,403,32,22,28.2,20.5,25.3,16.6,25.3,""
"Moroccan-spiced Cottage Cheese with Wholegrain Bread & Kale","20260702000001_seed_owner_meals.sql",apply,2,262,392,50,14.6,23.3,22.1,41.3,12.6,17.1,""
"Cajun Chicken Breast with Sweet Potato & Baby Spinach","20260702000001_seed_owner_meals.sql",apply,2,330,422,28,35.7,42.6,19,22.7,11.2,19.3,""
"Cajun Pork Tenderloin with Quinoa & Mixed Peppers","20260702000001_seed_owner_meals.sql",apply,2,331,429,30,31.6,35.9,19.8,26,12.7,21.4,""
"Mexican-style Haddock Fillet with Soba Noodles & Mixed Salad Leaves","20260702000001_seed_owner_meals.sql",apply,2,244,279,14,27.7,28.6,16.8,16.8,5.7,11.1,""
"Cajun Mackerel with Wholewheat Pasta & Cherry Tomatoes","20260702000001_seed_owner_meals.sql",apply,2,391,498,27,25.3,30,23.5,30.5,22.1,30.4,""
"Lemon herb Chicken Breast with White Potato & Mixed Peppers","20260702000001_seed_owner_meals.sql",apply,2,297,360,21,36,40.7,14.4,17.3,8.6,13.9,""
"Indian-spiced Cooked Lentils with Bulgur Wheat & Chestnut Mushrooms","20260702000001_seed_owner_meals.sql",apply,2,253,328,30,10.9,14.3,35.2,35.6,7.5,16.3,""
"Peri-peri Lamb Leg with Rolled Oats & Cauliflower","20260702000001_seed_owner_meals.sql",apply,2,309,394,28,26.4,28.5,11.2,13.3,16.8,26.2,""
"Mediterranean Tuna Steak with Wholewheat Pasta & Kale","20260702000001_seed_owner_meals.sql",apply,2,271,324,20,34.3,35.2,20.8,25.9,5.1,9.3,""
"Lemon herb Haddock Fillet with Bulgur Wheat & Baby Spinach","20260702000001_seed_owner_meals.sql",apply,2,265,331,25,25.9,27.1,18.3,22,8.8,17.2,""
"Lemon herb Cooked Chickpeas with Rolled Oats & Cucumber","20260702000001_seed_owner_meals.sql",apply,2,271,303,12,12.5,15.3,38.8,39.7,6.6,9.9,""
"BBQ Egg Whites with Wholewheat Pasta & Tenderstem Broccoli","20260702000001_seed_owner_meals.sql",apply,2,191,258,35,16.3,21.3,21.5,27.1,4,7.7,""
"Lemon herb Cottage Cheese with Bulgur Wheat & Carrots","20260702000001_seed_owner_meals.sql",apply,2,212,256,21,15,18,19.2,27.2,7.6,8.9,""
"Mexican-style Egg Whites with Couscous & Baby Spinach","20260702000001_seed_owner_meals.sql",apply,2,231,323,40,16.4,22.8,21.8,25.6,7.8,16.2,""
"Peri-peri Whole Eggs with White Potato & Cauliflower","20260702000001_seed_owner_meals.sql",apply,2,287,338,18,18,23.3,15.5,17.4,16,19.8,""
"Lemon herb Edamame with Soba Noodles & Tenderstem Broccoli","20260702000001_seed_owner_meals.sql",apply,2,278,287,3,16.5,20.3,32.9,34.8,9.8,10.2,""
"Moroccan-spiced Seitan with White Potato & Baby Spinach","20260702000001_seed_owner_meals.sql",apply,2,350,304,-13,28.8,31.7,31.4,22.6,10.2,10.5,""
"Mediterranean Salmon Fillet with White Basmati Rice & Asparagus Tips","20260702000001_seed_owner_meals.sql",apply,2,394,488,24,30.4,31.5,22,28.1,20.7,28.4,""
"BBQ Quorn Mince with Wholegrain Bread & Courgette","20260702000001_seed_owner_meals.sql",apply,2,246,392,59,16.6,23.5,19.2,32.2,10.8,19.3,""
"Indian-spiced 0% Greek Yogurt with Brown Rice & Baby Spinach","20260702000001_seed_owner_meals.sql",apply,2,231,283,23,12.6,16.7,25.9,30.1,8.4,13.1,""
"Mexican-style Haddock Fillet with Rye Bread & Tenderstem Broccoli","20260702000001_seed_owner_meals.sql",apply,2,239,401,68,23.2,24.4,13.6,36,8.2,18.2,""
"Mexican-style Chicken Breast with White Potato & Chestnut Mushrooms","20260702000001_seed_owner_meals.sql",apply,2,298,373,25,32.2,35.7,14.2,14.4,10.7,19.4,""
"Peri-peri Lamb Leg with Butter Beans & Cucumber","20260702000001_seed_owner_meals.sql",apply,2,351,439,25,32.2,34.7,17.4,19.9,17.4,26.4,""
"Italian herb Cod Fillet with Rolled Oats & Chestnut Mushrooms","20260702000001_seed_owner_meals.sql",apply,2,212,226,7,26.5,26.9,11.8,11.8,4.7,8.2,""
"Cajun Turkey Breast with Bulgur Wheat & Peas","20260702000001_seed_owner_meals.sql",apply,2,272,383,41,30.9,31.2,15.2,26.6,8.6,17.3,""
"Mexican-style Salmon Fillet with White Potato & Cauliflower","20260702000001_seed_owner_meals.sql",apply,2,368,376,2,28.8,26,17.4,19.2,21.2,21.9,""
"Italian herb 0% Greek Yogurt with White Basmati Rice & Cucumber","20260702000001_seed_owner_meals.sql",apply,2,243,326,34,14.8,19,25.9,30.7,8.1,15.7,""
"Lemon herb Chicken Breast with Couscous & Cauliflower","20260702000001_seed_owner_meals.sql",apply,2,330,332,1,35.8,37.8,24.1,25.8,8.4,8.7,""
"Protein Oats with Banana & Berries","20260705120000_seed_owner_lean_dense_pack.sql",apply,0,524,448,-15,35,41.4,78,53.6,8,10.4,""
"Egg-White & Turkey Breakfast Wrap","20260705120000_seed_owner_lean_dense_pack.sql",apply,1,457,298,-35,42,42.8,52,19.5,9,4.7,""
"Chicken & Rice Breakfast Bowl","20260705120000_seed_owner_lean_dense_pack.sql",apply,1,540,552,2,45,51.6,72,59.2,8,9.9,""
"Smoked Haddock & Poached Egg-White on Toast","20260705120000_seed_owner_lean_dense_pack.sql",apply,2,433,309,-29,40,40.8,48,28.8,9,3.2,""
"Berry Protein Smoothie Bowl","20260705120000_seed_owner_lean_dense_pack.sql",apply,1,483,500,4,35,46.3,70,59.6,7,10.3,""
"Tofu Scramble & Beans on Toast","20260705120000_seed_owner_lean_dense_pack.sql",apply,1,450,559,24,32,43.8,58,61.9,10,16,""
"Banana Protein Pancakes","20260705120000_seed_owner_lean_dense_pack.sql",apply,3,497,484,-3,38,35.9,66,73.2,9,6.7,""
"Overnight Oats, Apple & Cinnamon","20260705120000_seed_owner_lean_dense_pack.sql",apply,2,492,371,-25,30,34.6,75,49.3,8,7.2,""
"Prawn & Egg-White Rice Congee","20260705120000_seed_owner_lean_dense_pack.sql",apply,3,462,378,-18,40,32.7,62,56.5,6,1.4,""
"Turkey & Potato Breakfast Hash","20260705120000_seed_owner_lean_dense_pack.sql",apply,3,458,391,-15,42,43.8,50,40.2,10,6,""
"Mango & Pea-Protein Smoothie + Bagel","20260705120000_seed_owner_lean_dense_pack.sql",apply,1,519,356,-31,34,40.5,80,44.8,7,3.4,""
"Chicken, Rice & Roasted Veg Bowl","20260705120000_seed_owner_lean_dense_pack.sql",apply,1,585,536,-8,48,53.8,78,61.6,9,6.5,""
"Tuna & Sweet Potato Poke","20260705120000_seed_owner_lean_dense_pack.sql",apply,3,532,465,-13,45,51.2,70,53.8,8,5.2,""
"Turkey Meatball Pasta","20260705120000_seed_owner_lean_dense_pack.sql",apply,2,602,650,8,46,57.3,82,84.6,10,8.8,""
"Prawn Noodle Stir-Fry","20260705120000_seed_owner_lean_dense_pack.sql",apply,3,544,287,-47,42,34.1,76,34.1,8,1.5,""
"Lentil & Rice Dahl","20260705120000_seed_owner_lean_dense_pack.sql",apply,3,533,376,-29,28,17.5,85,73.7,9,1.7,""
"Chickpea & Quinoa Power Salad","20260705120000_seed_owner_lean_dense_pack.sql",apply,3,514,403,-22,26,19.3,80,69,10,6.3,""
"Grilled Chicken & Couscous Tabbouleh","20260705120000_seed_owner_lean_dense_pack.sql",apply,3,557,350,-37,47,50.2,72,21.7,9,5.7,""
"White Fish & Potato Traybake","20260705120000_seed_owner_lean_dense_pack.sql",apply,2,520,345,-34,44,35,68,47.6,8,1.5,""
"Teriyaki Tofu & Rice Bowl","20260705120000_seed_owner_lean_dense_pack.sql",apply,3,562,584,4,30,40.5,88,68.7,10,19.1,""
"Turkey & Black Bean Burrito Bowl","20260705120000_seed_owner_lean_dense_pack.sql",apply,2,594,635,7,46,58.9,80,81.3,10,8.1,""
"Edamame & Brown Rice Buddha Bowl","20260705120000_seed_owner_lean_dense_pack.sql",apply,3,530,503,-5,28,24.3,82,73.7,10,14.3,""
"Grilled Chicken, Mash & Greens","20260705120000_seed_owner_lean_dense_pack.sql",apply,1,541,587,9,50,58.6,65,57.5,9,13.2,""
"Cod, New Potatoes & Peas","20260705120000_seed_owner_lean_dense_pack.sql",apply,1,504,440,-13,46,44,62,60.2,8,2,""
"Turkey Bolognese with Spaghetti","20260705120000_seed_owner_lean_dense_pack.sql",apply,2,622,703,13,48,59.9,85,93.3,10,9.3,""
"King Prawn & Vegetable Paella","20260705120000_seed_owner_lean_dense_pack.sql",apply,3,577,318,-45,44,37.3,80,38.4,9,1.6,""
"Chicken Tikka & Basmati Rice","20260705120000_seed_owner_lean_dense_pack.sql",apply,3,602,581,-3,50,56.5,78,63.8,10,8.5,""
"Tofu & Vegetable Pad Thai","20260705120000_seed_owner_lean_dense_pack.sql",apply,3,578,423,-27,30,35,92,40.5,10,16.1,""
"Lean Beef & Broccoli with Rice","20260705120000_seed_owner_lean_dense_pack.sql",apply,2,578,546,-6,50,45.2,72,71.2,10,9,""
"Seitan Steak, Sweet Potato & Kale","20260705120000_seed_owner_lean_dense_pack.sql",apply,1,541,489,-10,45,45.4,70,63.3,9,5.9,""
"Chicken & Chickpea Curry with Rice","20260705120000_seed_owner_lean_dense_pack.sql",apply,2,602,729,21,46,62.1,82,95.4,10,9.6,""
"Grilled Prawn & Quinoa Primavera","20260705120000_seed_owner_lean_dense_pack.sql",apply,2,545,333,-39,42,38,74,36.4,9,4,""
"Turkey Steak, Rice & Ratatouille","20260705120000_seed_owner_lean_dense_pack.sql",apply,2,552,443,-20,50,46.1,70,53.8,8,3.4,""
"Rice Cakes, Jam & Protein Shake","20260705120000_seed_owner_lean_dense_pack.sql",apply,1,385,242,-37,30,28.1,55,29.9,5,1,""
"Banana Protein Flapjack","20260705120000_seed_owner_lean_dense_pack.sql",apply,1,410,311,-24,20,23,60,53.7,10,2.6,""
"Mango Sorbet & Dairy-Free Protein Yogurt","20260705120000_seed_owner_lean_dense_pack.sql",apply,1,402,417,4,25,24.4,62,55.3,6,12.1,""
"Bagel with Syrup & Whey","20260705120000_seed_owner_lean_dense_pack.sql",apply,1,435,222,-49,28,23.3,65,27.9,7,2,""
"Rice Pudding with Berries","20260705120000_seed_owner_lean_dense_pack.sql",apply,1,440,361,-18,22,19.3,70,66.9,8,1.1,""
"Pretzels, Hummus & Protein Shake","20260705120000_seed_owner_lean_dense_pack.sql",apply,0,434,402,-7,26,36.1,60,49.3,10,7.7,""
"Dried Fruit & Rice Cake Energy Plate","20260705120000_seed_owner_lean_dense_pack.sql",apply,1,434,230,-47,20,16.2,75,41.9,6,1,""
"Tuna & Cracker Protein Box","20260705120000_seed_owner_lean_dense_pack.sql",apply,3,400,381,-5,32,63,50,20.9,8,5.1,""
"Oat & Berry Protein Smoothie","20260705120000_seed_owner_lean_dense_pack.sql",apply,0,415,209,-50,30,28.4,58,21,7,1.3,""
"Sushi-Style Rice & Edamame","20260705120000_seed_owner_lean_dense_pack.sql",apply,2,419,334,-20,24,14.6,65,57.7,7,4.7,""
"Jacket Potato & Baked Beans","20260705120000_seed_owner_lean_dense_pack.sql",apply,3,445,263,-41,22,11.7,78,48.9,5,0.9,""
"Double Soya Protein Oats","20260705130000_seed_owner_lean_protein_plant_pack.sql",apply,0,512,520,2,45,67.2,65,45.7,8,10.6,""
"Egg-White & Soya Mince Scramble on Toast","20260705130000_seed_owner_lean_protein_plant_pack.sql",apply,2,424,340,-20,48,43.7,40,31.6,8,3.2,""
"Pea-Protein Berry Smoothie XL","20260705130000_seed_owner_lean_protein_plant_pack.sql",apply,0,463,426,-8,42,51.2,58,50.2,7,4.2,""
"Soya Yogurt, Protein & Granola Bowl","20260705130000_seed_owner_lean_protein_plant_pack.sql",apply,0,481,490,2,40,44.2,60,49.6,9,11.7,""
"High-Protein Chickpea (Besan) Pancakes","20260705130000_seed_owner_lean_protein_plant_pack.sql",apply,3,441,567,29,40,55.7,50,66.2,9,8.9,""
"Egg-White Omelette & Baked Beans","20260705130000_seed_owner_lean_protein_plant_pack.sql",apply,3,415,332,-20,42,39.1,46,35.9,7,1.5,""
"Seitan Gyro Rice Bowl","20260705130000_seed_owner_lean_protein_plant_pack.sql",apply,2,561,525,-6,50,48.7,70,68.5,9,3.9,""
"Soya Mince Chilli & Rice","20260705130000_seed_owner_lean_protein_plant_pack.sql",apply,2,552,713,29,48,55.8,72,119.1,8,2.5,""
"High-Protein Lentil & Quinoa Bowl","20260705130000_seed_owner_lean_protein_plant_pack.sql",apply,3,553,430,-22,40,22.5,78,72.2,9,6.5,""
"Tempeh & Edamame Rice Bowl","20260705130000_seed_owner_lean_protein_plant_pack.sql",apply,2,554,622,12,44,40.9,72,74,10,20.5,""
"Quorn & Sweet Potato Traybake","20260705130000_seed_owner_lean_protein_plant_pack.sql",apply,2,524,416,-21,45,31.3,68,60.8,8,5.9,""
"TVP Bolognese Pasta","20260705130000_seed_owner_lean_protein_plant_pack.sql",apply,2,576,679,18,46,52.5,80,112.7,8,2.7,""
"Falafel-Spiced Chickpea & Couscous","20260705130000_seed_owner_lean_protein_plant_pack.sql",apply,3,554,527,-5,40,31,76,82.7,10,9.6,""
"Edamame, Tofu & Soba Salad","20260705130000_seed_owner_lean_protein_plant_pack.sql",apply,2,546,453,-17,42,37.7,72,38.2,10,20.2,""
"Seitan Steak, Mash & Greens","20260705130000_seed_owner_lean_protein_plant_pack.sql",apply,2,529,559,6,50,53.1,62,56.8,9,12.2,""
"Soya Mince Shepherd's Pie","20260705130000_seed_owner_lean_protein_plant_pack.sql",apply,2,545,536,-2,46,43.2,70,75.9,9,8.1,""
"High-Protein Tofu & Chickpea Tikka with Rice","20260705130000_seed_owner_lean_protein_plant_pack.sql",apply,2,578,721,25,44,42.8,78,96.7,10,19.6,""
"TVP & Black Bean Burrito Bowl","20260705130000_seed_owner_lean_protein_plant_pack.sql",apply,2,593,684,15,48,55.6,80,112.8,9,2.1,""
"Seitan Stir-Fry with Noodles","20260705130000_seed_owner_lean_protein_plant_pack.sql",apply,3,577,623,8,50,59.4,74,78.8,9,7.6,""
"High-Protein Red Lentil Dahl & Rice","20260705130000_seed_owner_lean_protein_plant_pack.sql",apply,3,589,464,-21,42,20.7,85,91.7,9,1.9,""
"Quorn Fillet, Rice & Ratatouille","20260705130000_seed_owner_lean_protein_plant_pack.sql",apply,3,536,334,-38,46,17.8,70,57.2,8,3.2,""
"Tempeh Satay-Style with Rice","20260705130000_seed_owner_lean_protein_plant_pack.sql",apply,3,562,528,-6,42,33.5,76,69.2,10,15.1,""
"Soya Yogurt & Berry Protein Pot","20260705130000_seed_owner_lean_protein_plant_pack.sql",apply,0,354,357,1,30,34,45,23.1,6,14,""
"Roasted Edamame & Protein Shake","20260705130000_seed_owner_lean_protein_plant_pack.sql",apply,0,381,258,-32,35,40.8,40,11.6,9,6.7,""
"Seitan Jerky & Rice Cakes","20260705130000_seed_owner_lean_protein_plant_pack.sql",apply,2,373,168,-55,32,17.7,50,19.2,5,1.7,""
"Pea-Protein & Banana Smoothie","20260705130000_seed_owner_lean_protein_plant_pack.sql",apply,0,401,239,-40,34,26,55,32.2,5,2.3,""
"High-Protein Hummus & Pitta","20260705130000_seed_owner_lean_protein_plant_pack.sql",apply,2,422,248,-41,28,13.1,55,32.1,10,7.8,""
"Roasted Chickpea & Soya Protein Plate","20260705130000_seed_owner_lean_protein_plant_pack.sql",apply,1,409,317,-22,30,27.3,52,44.1,9,4.3,""
